RestaurantID,City,Area,RestaurantName,CuisineTypes,AverageMealPrice,AverageRating,TotalRatings,EstimatedOrders,EstimatedRevenue,DeliveryTimeMinutes,DiscountPercentage,DeliveryPartner,Address,LastUpdatedDate
1,Bangalore,BTM Layout,Cafe Biryani Zone,"Desserts, Biryani, Chinese",298,4,570,1871,557558,21,10,Swiggy Genie,"82, Cherian Nagar, Nellore 644458",22-06-2025
2,Delhi,Rohini,Cafe Andhra Junction,Fast Food,1039,4,13311,1387,1441093,75,0,Regular Delivery,"56, Keer Circle, Danapur 990322",03-08-2025
3,Mumbai,Powai,Biryani Biryani Point,"Pizza, Biryani, Mughlai",898,3,13935,435,390630,42,25,Regular Delivery,"H.No. 70, Kota Road, Machilipatnam-412843",16-02-2026
4,Mumbai,Lower Parel,Royal Arabian Grill,Mughlai,860,4,11593,1946,1673560,24,0,Swiggy One,"44/56, Balasubramanian Nagar, Bhagalpur 777343",07-11-2025
5,Bangalore,Indiranagar,Street Italian Factory,Mughlai,453,3.6,3482,664,300792,62,25,Regular Delivery,"06, Soman Circle, Sultan Pur Majra-200495",21-12-2025
6,Hyderabad,Hitech City,Food Ice Cream Zone,"Burgers, Desserts",569,4.2,13859,1956,1112964,69,0,Swiggy Genie,"H.No. 449, Mander Chowk, Proddatur-677593",18-02-2026
7,Chennai,Adyar,Cafe Seafood Junction,"Chinese, Biryani, Arabian",1142,3.6,10582,2249,2568358,49,15,Swiggy Genie,"70, Lalla Marg, Dibrugarh 762339",18-09-2025
8,Hyderabad,Hitech City,Food Bakery Junction,"Andhra, Italian, Arabian",403,3.9,1539,978,394134,68,0,Swiggy Genie,"32/54, Agarwal Chowk, Machilipatnam 518218",01-09-2025
9,Hyderabad,Banjara Hills,Food Italian Zone,Mughlai,634,4.8,14153,4478,2839052,20,10,Swiggy One,"68/42, Dugal Nagar, Ajmer-554349",02-01-2026
10,Chennai,Anna Nagar,Spice Ice Cream Zone,"Andhra, Chinese, Desserts",485,3.9,1793,4238,2055430,75,25,Regular Delivery,"05/989, Bhardwaj Chowk, Satna-860128",10-10-2025
11,Hyderabad,Gachibowli,Express North Indian Grill,"Burgers, Ice Cream, Mughlai",783,3.8,1882,2041,1598103,43,25,Swiggy Genie,"55, Babu Circle, Thrissur-405925",23-08-2025
12,Hyderabad,Hitech City,Cafe Healthy Food Point,Chinese,377,3.1,7837,2251,848627,55,15,Regular Delivery,"57/29, Sehgal Chowk, Bhusawal-594282",22-10-2025
13,Delhi,Dwarka,Street Mughlai Factory,"Fast Food, Bakery",1017,4.7,7447,1920,1952640,27,20,Swiggy Genie,"19, Dhingra Chowk, Pallavaram-643082",26-02-2026
14,Chennai,Anna Nagar,Royal South Indian Junction,"Desserts, North Indian",258,4.7,14134,4291,1107078,41,10,Swiggy Genie,"H.No. 319, Gera Marg, Bhilai-919510",19-06-2025
15,Chennai,Adyar,Delight Healthy Food Junction,"Pizza, Bakery",1088,4.5,3169,3611,3928768,26,10,Swiggy One,"73, Dayal Circle, Sikar 875114",04-01-2026
16,Mumbai,Dadar,Royal South Indian Treats,"South Indian, Seafood, Italian, Andhra",814,4.5,1840,1638,1333332,35,20,Regular Delivery,"43/688, Upadhyay Zila, Sri Ganganagar-263812",17-01-2026
17,Mumbai,Bandra,Royal Italian Zone,"Burgers, Pizza, Desserts, Biryani",320,2.9,8906,844,270080,73,0,Swiggy Genie,"724, Mahal, Buxar 190489",03-04-2026
18,Hyderabad,Banjara Hills,Spice Burgers Treats,"Healthy Food, Biryani, Andhra, Fast Food",124,4.9,4395,2416,299584,70,50,Swiggy One,"86, Chadha Path, Katni 207768",19-01-2026
19,Delhi,Dwarka,Tandoori South Indian Grill,"Fast Food, Pizza",244,4.4,986,4199,1024556,23,50,Regular Delivery,"H.No. 56, Karpe Marg, Siwan 834693",02-02-2026
20,Hyderabad,Madhapur,Royal Chinese Junction,Burgers,946,3.1,14636,4822,4561612,56,20,Regular Delivery,"688, Magar Road, Raiganj 172643",17-10-2025
21,Bangalore,Jayanagar,House Seafood Palace,Andhra,538,4.2,5197,3322,1787236,35,25,Swiggy Genie,"00, Rajan Zila, Chandigarh-117693",16-12-2025
22,Chennai,Adyar,Delight Biryani Point,"Chinese, North Indian, Desserts",556,3.9,2220,2081,1157036,42,10,Swiggy One,"91, Banerjee Nagar, Hospet-623586",30-11-2025
23,Chennai,Velachery,Express North Indian Zone,"Arabian, Healthy Food, Mughlai, Seafood",733,4.8,1747,1025,751325,28,25,Swiggy Genie,"H.No. 63, Kala Road, Gandhidham-134062",20-02-2026
24,Delhi,Saket,Cafe Seafood Junction,"Arabian, Healthy Food, Biryani",660,3.9,4164,836,551760,74,0,Regular Delivery,"H.No. 49, Mane Marg, Dibrugarh-879922",14-03-2026
25,Mumbai,Powai,Biryani Pizza Palace,North Indian,450,4.4,9088,4674,2103300,65,40,Swiggy Genie,"01/38, Dube, Serampore 487455",02-02-2026
26,Bangalore,BTM Layout,Biryani Pizza Treats,"South Indian, Andhra",381,2.9,6024,3011,1147191,70,0,Swiggy Genie,"18/92, Atwal Nagar, Durg-764031",15-09-2025
27,Hyderabad,Madhapur,Urban Desserts Corner,"Andhra, Arabian, Bakery",482,4.7,456,3452,1663864,31,30,Regular Delivery,"49/784, Choudhry Nagar, Kurnool 781418",28-02-2026
28,Hyderabad,Kukatpally,Spice Healthy Food Junction,"Biryani, Fast Food",528,4.5,7591,1944,1026432,42,25,Swiggy Genie,"H.No. 077, Batra Zila, Bhubaneswar-155345",22-02-2026
